"promotion_code","user_name"
"B2JXDNWG3","A100280"
"B29DCR7U3","A100280"
"B2V4NMTQ3","A100280"
"B2KY3MM53","A100280"
"B2GACCJN3","A100280"
"B21KALFY3","A100752"
"B21SUUFG3","A100752"
"B2TWYW123","A100752"
"B2TUQNQY3","A100752"
"B24SPU5R3","A100752"
"B2PRDZ333","A101969"
"B2QDT8HD3","A101969"
"B233RWM13","A101969"
"B2P73AGT3","A101969"
"B2MQMQN93","A101969"
"B21CWZM73","A101987"
"B21Z7F5D3","A101987"
"B2CPNBYT3","A101987"
"B2WAMNNQ3","A101987"
"B2VUFTMU3","A101987"
"B219J7H43","A10263"
"B2ZXRSJT3","A10263"
"B2QJ8C4X3","A10263"
"B2WJJRKR3","A10263"
"B28AUJGQ3","A10263"
"B2K5RJ3E3","A10282"
"B2Y5ZBXE3","A10282"
"B28JHLCX3","A10282"
"B24385C93","A10282"
"B2QBGL583","A10282"
"B2XPWAB43","A10283"
"B2RBABAR3","A10283"
"B2TPFUKP3","A10283"
"B27C2MCJ3","A10283"
"B2CKRE9J3","A10283"
"B2J5VPMA3","A10286"
"B258FX3W3","A10286"
"B2XP5MP83","A10286"
"B2VDFF3A3","A10286"
"B2BCGRB13","A10286"
"B2DVBJ4T3","A102916"
"B2BPFBNZ3","A102916"
"B2DHG3HL3","A102916"
"B2JNJBAX3","A102916"
"B277LDH13","A102916"
"B2ELPAR13","A10301"
"B29PNV1L3","A10301"
"B25DUX583","A10301"
"B27H32D93","A10301"
"B295LKKB3","A10301"
"B2HQ8CRD3","A10316"
"B2XST7G33","A10316"
"B2FQJ2TV3","A10316"
"B2S3DZFW3","A10316"
"B2L1PC713","A10316"
"B2BSKZKJ3","A103379"
"B2GPFPMJ3","A103379"
"B2CM1R4K3","A103379"
"B2WGV7573","A103379"
"B2UR2J1A3","A103379"
"B2CA8D8H3","A103844"
"B2YP88LL3","A103844"
"B23ZBLES3","A103844"
"B27E498M3","A103844"
"B2F8YDAU3","A103844"
"B2C9MFQK3","A104145"
"B2RPGRVK3","A104145"
"B2AMRUQH3","A104145"
"B2SJF3GM3","A104145"
"B2LZ8CH53","A104145"
"B23W8GUG3","A10422"
"B2KDFCB53","A10422"
"B2XU472X3","A10422"
"B23RHJW33","A10422"
"B2FMBBKV3","A10422"
"B2N2JEXL3","A105139"
"B2Y99WZ73","A105139"
"B25V28V33","A105139"
"B2BT957W3","A105139"
"B2VNY8GD3","A105139"
"B27AFKVW3","A105141"
"B2W3BHHM3","A105141"
"B2233HQQ3","A105141"
"B2TFPWER3","A105141"
"B259Q22V3","A105141"
"B2FWLLRC3","A105176"
"B2LGZNJ43","A105176"
"B287AUWX3","A105176"
"B25CCWFN3","A105176"
"B22A4FUM3","A105176"
"B2PDD7S73","A10591"
"B2EHL48L3","A10591"
"B2B1UP3V3","A10591"
"B2X32HE53","A10591"
"B2HDBSGV3","A10591"
"B2LA7THG3","A106513"
"B2SW59VY3","A106513"
"B2WF2KTU3","A106513"
"B2B1J4CQ3","A106513"
"B2CSDWHS3","A106513"
"B2VU9XX43","A106581"
"B2HHSX5P3","A106581"
"B29SFYGR3","A106581"
"B2HZB11Z3","A106581"
"B2WSZJVW3","A106581"
"B2SVXJRL3","A107534"
"B27RRBJT3","A107534"
"B2LY3NTC3","A107534"
"B27E3PBU3","A107534"
"B287HH3Q3","A107534"
"B2872SRD3","A108130"
"B22WV2TN3","A108130"
"B2LHZ2AY3","A108130"
"B2CD4ZLW3","A108130"
"B2YMW34E3","A108130"
"B2FGQYST3","A109225"
"B29GYFZ53","A109225"
"B2F7XWCR3","A109225"
"B2MGXRQ33","A109225"
"B2EU7NVD3","A109225"
"B2TMQMDX3","A109559"
"B28XF9GC3","A109559"
"B2A3NGNU3","A109559"
"B2YYPY583","A109559"
"B2NF47VQ3","A109559"
"B23QVEY53","A109605"
"B245PRRF3","A109605"
"B2TNFZ8W3","A109605"
"B2SMBJPN3","A109605"
"B2EXNQBS3","A109605"
"B2MN13ET3","A10992"
"B2HBP1VB3","A10992"
"B2BUR8943","A10992"
"B2DJB33Y3","A10992"
"B2JC2V8T3","A10992"
"B295YQPU3","A11043"
"B2KY8QYL3","A11043"
"B2PA9HA43","A11043"
"B2JFB2VM3","A11043"
"B2PAFNP33","A11043"
"B23NGCD33","A11127"
"B28X93Q33","A11127"
"B2W2LYNM3","A11127"
"B2BC43CP3","A11127"
"B2QXXLXT3","A11127"
"B2PAM4VX3","A111469"
"B2XKHNG33","A111469"
"B23FLLY23","A111469"
"B2P4T5DM3","A111469"
"B2WB5K8A3","A111469"
"B2RMLADK3","A11166"
"B2N2GM8Z3","A11166"
"B2ZGLTBR3","A11166"
"B2K7MEVM3","A11166"
"B2M5H5LX3","A11166"
"B2C8XVNH3","A112278"
"B2QNQM3J3","A112278"
"B2QHCAGX3","A112278"
"B25837JN3","A112278"
"B23GT4V53","A112278"
"B2BKTN8U3","A112334"
"B2LDL78Y3","A112334"
"B2TM2XCF3","A112334"
"B2JZXBRL3","A112334"
"B2L3CCA53","A112334"
"B2LD2A393","A112638"
"B28N1GTZ3","A112638"
"B2XXR14F3","A112638"
"B2FQNT953","A112638"
"B2WD93TN3","A112638"
"B2LW2KGP3","A11282"
"B2NAHD3S3","A11282"
"B2WWZDE83","A11282"
"B2XDU8XA3","A11282"
"B2RNKNLX3","A11282"
"B21QGU253","A11284"
"B222HKK73","A11284"
"B24URL3P3","A11284"
"B2FKJMWL3","A11284"
"B2SGEJLT3","A11284"
"B2SV4B5K3","A112924"
"B2VM1GJ23","A112924"
"B2MM8LFX3","A112924"
"B2NX29YT3","A112924"
"B2QKBNKC3","A112924"
"B2HJSPTD3","A113202"
"B21MUYFS3","A113202"
"B2EBBGEF3","A113202"
"B2XE7CF73","A113202"
"B2PAVLE93","A113202"
"B2VTLML43","A113277"
"B25QNAN43","A113277"
"B2UDZPEC3","A113277"
"B2YULLF73","A113277"
"B2P8EZV83","A113277"
"B2V7QVG23","A113678"
"B2GVKQXB3","A113678"
"B2N4WYA53","A113678"
"B2MSD4V53","A113678"
"B214M5R23","A113678"
"B2X9X53D3","A11545"
"B2TYADEV3","A11545"
"B2U54ERC3","A11545"
"B29J5VM33","A11545"
"B2DV1XR53","A11545"
"B2JUZW1S3","A116126"
"B2CLDQFB3","A116126"
"B2H42FX93","A116126"
"B232N9DW3","A116126"
"B2ZQKM443","A116126"
"B2UCTSBC3","A116464"
"B2R15A4Q3","A116464"
"B29JRBY73","A116464"
"B2ANPBYF3","A116464"
"B2Q55TWH3","A116464"
"B2L12ETK3","A116758"
"B2HWSM793","A116758"
"B2U4YLSY3","A116758"
"B2BM9P4T3","A116758"
"B2Z23F443","A116758"
"B2GNFLFH3","A118325"
"B2HS1BU53","A118325"
"B2B54DFP3","A118325"
"B28PJP723","A118325"
"B29GLWTH3","A118325"
"B23X39ZX3","A11835"
"B2TJ943W3","A11835"
"B2ASULL43","A11835"
"B2B2MQ1T3","A11835"
"B2A28BPJ3","A11835"
"B2BFVRMU3","A118517"
"B27QM43H3","A118517"
"B24CNWDD3","A118517"
"B2AKENC53","A118517"
"B22W5JPG3","A118517"
"B2L5DFN43","A118660"
"B2W112Y23","A118660"
"B2AE7UG83","A118660"
"B2RWH8RF3","A118660"
"B2ZREQVV3","A118660"
"B24K44ZY3","A11974"
"B2TJPG3F3","A11974"
"B23PG3GB3","A11974"
"B2LFWYVQ3","A11974"
"B23QJYY13","A11974"
"B2PTB9KH3","A119812"
"B2TAGVNW3","A119812"
"B22FEVPZ3","A119812"
"B2795VPA3","A119812"
"B2EUHPHN3","A119812"
"B2WXDB4S3","A119926"
"B2ARYJU13","A119926"
"B2EU4Q733","A119926"
"B2QJ8W173","A119926"
"B2TTKH2M3","A119926"
"B2GQK1RS3","A120049"
"B2PJB3AD3","A120049"
"B2CZSDUX3","A120049"
"B2MRRDVG3","A120049"
"B245ZPZZ3","A120049"
"B24X7TQM3","A1202"
"B29BR77X3","A1202"
"B2EFELFA3","A1202"
"B2LCRDZL3","A1202"
"B2Y4KP873","A1202"
"B2JF3LZ73","A12062"
"B2E5JG123","A12062"
"B2RTYE1F3","A12062"
"B2HGJXPX3","A12062"
"B2DGBWSC3","A12062"
"B2V7BMV73","A12144"
"B2BRF5553","A12144"
"B2ZLMPYG3","A12144"
"B2CTTG443","A12144"
"B2AERJXA3","A12144"
"B2KLNZF13","A122226"
"B2AGQAWJ3","A122226"
"B2FHD4QU3","A122226"
"B2TDNATX3","A122226"
"B2VDGTNJ3","A122226"
"B2DNGGYM3","A122341"
"B2YC2YFR3","A122341"
"B2U1U8Y33","A122341"
"B2BS3Q8E3","A122341"
"B2XKJJEH3","A122341"
"B2YBF3HM3","A122365"
"B25BSK5V3","A122365"
"B2DRT77X3","A122365"
"B2ZPCJAG3","A122365"
"B2A9HLR23","A122365"
"B2YLVBBN3","A122981"
"B25MLAQ13","A122981"
"B2KNUMDU3","A122981"
"B2T1UQZB3","A122981"
"B2WF3BCE3","A122981"
"B2UCMTN83","A123399"
"B23MYZ5Z3","A123399"
"B2LPKT3R3","A123399"
"B2ECR1DF3","A123399"
"B2MRZM7V3","A123399"
"B2YTV4CN3","A12379"
"B2X3JCTE3","A12379"
"B2WHU4Q33","A12379"
"B2EQQ1ED3","A12379"
"B2ZHNQLJ3","A12379"
"B22LEDZ23","A123850"
"B2Z2NQMK3","A123850"
"B28KD7C93","A123850"
"B2V5K9PV3","A123850"
"B2ZL59573","A123850"
"B211YRHJ3","A124148"
"B2GZ285A3","A124148"
"B2LVQHWB3","A124148"
"B2R8R42F3","A124148"
"B25S4SM13","A124148"
"B2NEMNXZ3","A12508"
"B27YTP2T3","A12508"
"B2BEFTGJ3","A12508"
"B28UDUXB3","A12508"
"B2HFDW293","A12508"
"B2AJAW2L3","A125116"
"B2GJ3YT83","A125116"
"B2HWPFEY3","A125116"
"B2TEF1SQ3","A125116"
"B25GHPH43","A125116"
"B2RT4DCR3","A12552"
"B22GU9NV3","A12552"
"B282E35C3","A12552"
"B2B72YMT3","A12552"
"B2DRP9D93","A12552"
"B2MGMN533","A12565"
"B21KLVUB3","A12565"
"B2CY9VG93","A12565"
"B2KAKF7U3","A12565"
"B2VVG19B3","A12565"
"B2RY2H5J3","A12569"
"B2EF1U9D3","A12569"
"B24E1CSK3","A12569"
"B21DNYK73","A12569"
"B23JJ2YX3","A12569"
"B2Z8WUJ43","A126316"
"B2VDPA743","A126316"
"B2XDPZKK3","A126316"
"B2TBFZP93","A126316"
"B2Q95YB43","A126316"
"B23S3FU73","A12716"
"B2A14GVC3","A12716"
"B2UUHKGM3","A12716"
"B2VMLG7H3","A12716"
"B2R159ZS3","A12716"
"B2SUDBXU3","A128719"
"B2N7L1LS3","A128719"
"B29ARAHB3","A128719"
"B2RBPVPJ3","A128719"
"B25K4FLW3","A128719"
"B2HNK8Q83","A128835"
"B2VMHP3T3","A128835"
"B23CCSB53","A128835"
"B2WKPCJ33","A128835"
"B2FZM3LK3","A128835"
"B2NNWUG53","A128923"
"B2RG99Z23","A128923"
"B2UAXRWK3","A128923"
"B2XP3Q4Y3","A128923"
"B2YM99RM3","A128923"
"B2PMRWLY3","A129606"
"B2LPVRZ23","A129606"
"B2UD28NS3","A129606"
"B2HGGFDT3","A129606"
"B2G854AP3","A129606"
"B2Y9SAGN3","A12991"
"B25M3PP93","A12991"
"B28RA4VH3","A12991"
"B2NS8M4C3","A12991"
"B2Y9YHJP3","A12991"
"B2WVCTX23","A131389"
"B27LX5CJ3","A131389"
"B2SCB5L73","A131389"
"B2ECRD9V3","A131389"
"B2GHZTQK3","A131389"
"B229JH7X3","A131405"
"B2U8GS553","A131405"
"B22LMNC83","A131405"
"B2U97CWJ3","A131405"
"B22FBBXW3","A131405"
"B2WFZ15G3","A131507"
"B2CTRVVS3","A131507"
"B2H4VRYL3","A131507"
"B2BZ437Z3","A131507"
"B2TVXWU43","A131507"
"B2F4XY1P3","A132383"
"B2NDR4GP3","A132383"
"B2HB4X1A3","A132383"
"B2CBQQQ93","A132383"
"B294JMER3","A132383"
"B2ENB9E33","A132824"
"B24UHD113","A132824"
"B22V12TY3","A132824"
"B2218DX73","A132824"
"B2D2EHR83","A132824"
"B2S7LNGX3","A133046"
"B2WUFYP93","A133046"
"B22J5ZE23","A133046"
"B2Q81G8B3","A133046"
"B25EZWZ53","A133046"
"B25SQGQ43","A1347"
"B28KDTTM3","A1347"
"B22CVVY43","A1347"
"B21N3EBH3","A1347"
"B2YB2XAH3","A1347"
"B2RYJ1KD3","A136143"
"B2Y9FGBB3","A136143"
"B2SZ8EJZ3","A136143"
"B2Z7S7XX3","A136143"
"B2Q52JE33","A136143"
"B27SD9WJ3","A136144"
"B2TEMMC73","A136144"
"B2RJJVX93","A136144"
"B2GBY9GV3","A136144"
"B2YJGSML3","A136144"
"B28E2KS33","A13789"
"B2TMVG2B3","A13789"
"B2EQGVUH3","A13789"
"B2A8YYJP3","A13789"
"B24QCSCS3","A13789"
"B22RD9UG3","A138612"
"B251DP2Q3","A138612"
"B29EFJ713","A138612"
"B2MHVWRN3","A138612"
"B2QPK8Y93","A138612"
"B2QABPPJ3","A139086"
"B2HJWBRX3","A139086"
"B27N8FZZ3","A139086"
"B2VDESLP3","A139086"
"B2FGPRXW3","A139086"
"B2HJNNUX3","A1415"
"B2GPPSFR3","A1415"
"B2V3YLXM3","A1415"
"B2BS5DZG3","A1415"
"B21W75HN3","A1415"
"B238482Q3","A142799"
"B27SQU7J3","A142799"
"B2WA7ZDE3","A142799"
"B212WUVS3","A142799"
"B2M4NBKP3","A142799"
"B23ZPZKJ3","A143743"
"B2XTKNTF3","A143743"
"B2HB5NYW3","A143743"
"B242NM193","A143743"
"B2ZSFH7Y3","A143743"
"B2ZPLWWU3","A143818"
"B2CM1LXU3","A143818"
"B2MM5XH33","A143818"
"B2894KMS3","A143818"
"B2W8EZ9J3","A143818"
"B2LG5SC83","A144142"
"B2U1MJRM3","A144142"
"B24B8C1Q3","A144142"
"B21TGXPQ3","A144142"
"B2FCV5E13","A144142"
"B2L512DS3","A14454"
"B2VTDNUG3","A14454"
"B28HP2C83","A14454"
"B2XVSLV93","A14454"
"B2XL7L593","A14454"
"B2G7BTU33","A144549"
"B2J9Q1ZZ3","A144549"
"B2C7H7213","A144549"
"B2B4HBXK3","A144549"
"B27ZJM823","A144549"
"B2A1DHGU3","A14553"
"B2KYTT8S3","A14553"
"B23E4J3L3","A14553"
"B2ZSDLYG3","A14553"
"B24QQMXK3","A14553"
"B2V98FYW3","A146314"
"B2FG4ES53","A146314"
"B2LV952V3","A146314"
"B2SUG8YN3","A146314"
"B2LLYNWV3","A146314"
"B21K55EB3","A146521"
"B275WPZX3","A146521"
"B2YZH2983","A146521"
"B28DP7XC3","A146521"
"B245LMBH3","A146521"
"B2YDVZHB3","A14662"
"B2FXYZ9A3","A14662"
"B2KHJ48T3","A14662"
"B2X4C3P13","A14662"
"B27MSE373","A14662"
"B2VNEDFF3","A147196"
"B2EJXBJE3","A147196"
"B2HTF4LK3","A147196"
"B2Y7NW3T3","A147196"
"B2J15RQV3","A147196"
"B2KBU2QS3","A147754"
"B2ZK2EBN3","A147754"
"B2DGR41X3","A147754"
"B2G42ZV23","A147754"
"B2LFL73T3","A147754"
"B2V88YJW3","A148384"
"B2RMJ3QL3","A148384"
"B2QHZTZJ3","A148384"
"B2WEJ4UH3","A148384"
"B28C2QES3","A148384"
"B2URGTAN3","A1487"
"B2BPKEMK3","A1487"
"B284AHMS3","A1487"
"B2SN7G7R3","A1487"
