promotion_code,user_name
B1BW93CA5,A100280
B13RB28E5,A100280
B1E2DPY15,A100280
B15BC9PV5,A100280
B1UWZFR95,A100280
B1B92FS75,A100752
B1WKD4NL5,A100752
B1H48YXJ5,A100752
B1DSY3XM5,A100752
B1HZ4R115,A100752
B1BL8KEX5,A101969
B1KEK4QA5,A101969
B1BMHMRN5,A101969
B1UD7TYT5,A101969
B1R5VMFQ5,A101969
B13CRD2Z5,A101987
B12QT4WQ5,A101987
B1WCXBAS5,A101987
B1GUFYLV5,A101987
B1F322HV5,A101987
B148VAZT5,A10263
B1HSSEBU5,A10263
B15KTAR35,A10263
B1NPSU1G5,A10263
B1L8LFHR5,A10263
B1ED8DY25,A10282
B1ADEYJ45,A10282
B1YHZHA45,A10282
B1S4WQRH5,A10282
B1NTNSGA5,A10282
B1J474QE5,A10283
B1PCWMDD5,A10283
B12HRZMM5,A10283
B18UAJXL5,A10283
B1KJKESA5,A10283
B1K27XXK5,A10286
B119MGEA5,A10286
B19XYJ8N5,A10286
B1E4J3AX5,A10286
B1Q1VVB85,A10286
B1JRFSQ75,A102916
B1X9YCD75,A102916
B14SMU4L5,A102916
B1S5WTPA5,A102916
B145EFGC5,A102916
B1V3NYJE5,A10301
B1R72RT15,A10301
B14L49Z15,A10301
B1GYPVU75,A10301
B1XYS4HT5,A10301
B1E7JAMT5,A10316
B1PFU9AL5,A10316
B1L4FJ3H5,A10316
B1F21BPF5,A10316
B1ZJQP345,A10316
B1PYKYAB5,A103379
B1VDQ5BD5,A103379
B1QTLERC5,A103379
B155HXMY5,A103379
B1EGFD1K5,A103379
B1MZV4XH5,A103844
B1V7YZ5M5,A103844
B1EGYLBP5,A103844
B1JHLM7E5,A103844
B1BTLGV55,A103844
B1UYWXGH5,A104145
B1ZEY9CE5,A104145
B1MU9FBN5,A104145
B1KFM7575,A104145
B1Y92KXE5,A104145
B1U5371R5,A10422
B1ZFE7RA5,A10422
B1PHS1GQ5,A10422
B1N27QAU5,A10422
B1XNGE2N5,A10422
B1UCSM7T5,A105139
B1FTUNS25,A105139
B1M2X24T5,A105139
B1XUDVRM5,A105139
B13HTWQE5,A105139
B14GYU145,A105141
B1REQGLY5,A105141
B1XUTGYP5,A105141
B13XHJ885,A105141
B1R4YFUN5,A105141
B1CXUFQL5,A105176
B1KN32A15,A105176
B15VV1975,A105176
B1WBKPVG5,A105176
B1PM3SC75,A105176
B1HKKK3N5,A10591
B1D7CSD15,A10591
B1GJUZLQ5,A10591
B1RTGTKW5,A10591
B1RSZA3U5,A10591
B1CEUQ3X5,A106513
B17FES3M5,A106513
B1RRC8AZ5,A106513
B1AGF54P5,A106513
B1LNNS5W5,A106513
B1SVN1RU5,A106581
B1DK74RA5,A106581
B1YK4JP75,A106581
B1CTHNDY5,A106581
B11MZ3HT5,A106581
B1MHDADM5,A107534
B1N28LXX5,A107534
B193LFCS5,A107534
B1ARAYNF5,A107534
B1ZHLNBU5,A107534
B19N3KRA5,A108130
B17G4WDJ5,A108130
B1J757L85,A108130
B17SJX7T5,A108130
B1B125GX5,A108130
B1VTYF775,A109225
B1QSLGHV5,A109225
B1KQNT4M5,A109225
B1PQSATV5,A109225
B13Q9WNS5,A109225
B1MH57L25,A109559
B1XVPFQR5,A109559
B1FFC5SR5,A109559
B1YQTHG55,A109559
B1T2KUWV5,A109559
B1H48TRW5,A109605
B1QFHHRJ5,A109605
B1ZTYV8K5,A109605
B1JC2V925,A109605
B1NBVHXG5,A109605
B18WNSAU5,A10992
B12LRSC55,A10992
B18MJHVR5,A10992
B1YNGRG25,A10992
B1RDA33Y5,A10992
B1LCBFAD5,A11043
B1J2H7KD5,A11043
B187GUC15,A11043
B1B8JFJS5,A11043
B1ZWRXJS5,A11043
B1QSPT175,A11127
B17M8LQF5,A11127
B1K7UP325,A11127
B151LTHJ5,A11127
B1YQF1NA5,A11127
B1SKTTTY5,A111469
B1U99GX35,A111469
B1U1HCYK5,A111469
B1YXSLJR5,A111469
B1PLQH4P5,A111469
B1XR45JS5,A11166
B1589E575,A11166
B1L7YRP25,A11166
